Ron_ohm,ODT_ohm,trace_length_mm,C_decap_nF,overshoot_pct,undershoot_pct,prop_delay_ps,eye_height_mV,SSN_mV,transition_pp_mV,setup_margin_ps,rise_time_ps,analysis_pass
28.0,40.0,15.0,4700.0,0.0,8.7834,93.7679,263.9979,44.0592,200.1589,57.3751,41.4998,1
28.0,40.0,15.0,680.0,0.0,8.7831,93.7686,263.9939,44.0591,200.1581,57.3751,41.4999,1
28.0,40.0,20.0,100.0,0.0,8.9511,122.5281,270.6749,73.2243,214.3189,56.4489,43.3522,1
28.0,40.0,20.0,1000.0,0.0,8.9577,122.5173,270.7481,73.2246,214.3246,56.4487,43.3526,1
28.0,40.0,20.0,220.0,0.0,8.9551,122.5216,270.7193,73.2245,214.3224,56.4488,43.3524,1
28.0,40.0,20.0,2200.0,0.0,8.9581,122.5167,270.7524,73.2247,214.3249,56.4487,43.3526,1
28.0,40.0,20.0,47.0,0.0,8.9428,122.5417,270.5829,73.2238,214.3118,56.4491,43.3518,1
28.0,40.0,20.0,470.0,0.0,8.9568,122.5187,270.739,73.2246,214.3239,56.4487,43.3525,1
28.0,40.0,20.0,4700.0,0.0,8.9583,122.5164,270.7544,73.2247,214.3251,56.4487,43.3526,1
28.0,40.0,20.0,680.0,0.0,8.9573,122.5179,270.7443,73.2246,214.3243,56.4487,43.3526,1
28.0,40.0,25.0,100.0,0.0,11.8098,149.6923,301.5707,61.4546,210.1401,53.8078,48.6344,1
28.0,40.0,25.0,1000.0,0.0,11.8163,149.6801,301.6309,61.4547,210.1457,53.806,48.638,1
28.0,40.0,25.0,220.0,0.0,11.8137,149.6849,301.6072,61.4547,210.1435,53.8067,48.6366,1
28.0,40.0,25.0,2200.0,0.0,11.8167,149.6794,301.6346,61.4547,210.1461,53.8059,48.6383,1
28.0,40.0,25.0,47.0,0.0,11.8017,149.7077,301.4947,61.4545,210.1331,53.8101,48.6297,1
28.0,40.0,25.0,470.0,0.0,11.8155,149.6816,301.6234,61.4547,210.145,53.8062,48.6376,1
28.0,40.0,25.0,4700.0,0.0,11.8168,149.679,301.6362,61.4547,210.1462,53.8058,48.6384,1
28.0,40.0,25.0,680.0,0.0,11.8159,149.6807,301.6278,61.4547,210.1454,53.8061,48.6379,1
28.0,40.0,5.0,100.0,0.0,7.8791,40.0184,258.7784,68.5993,207.2579,56.3595,43.5309,1
28.0,40.0,5.0,1000.0,0.0,7.8863,40.0043,258.8549,68.5998,207.2636,56.3575,43.5349,1
28.0,40.0,5.0,220.0,0.0,7.8835,40.0091,258.8291,68.5996,207.2614,56.3586,43.5327,1
28.0,40.0,5.0,2200.0,0.0,7.8868,40.0036,258.8588,68.5998,207.264,56.3574,43.5352,1
28.0,40.0,5.0,47.0,0.0,7.87,40.0708,258.484,73.3171,207.2508,56.3487,43.5525,1
28.0,40.0,5.0,470.0,0.0,7.8854,40.0058,258.8468,68.5998,207.2629,56.3579,43.5342,1
28.0,40.0,5.0,4700.0,0.0,7.887,40.0032,258.8607,68.5999,207.2641,56.3573,43.5354,1
28.0,40.0,5.0,680.0,0.0,7.8859,40.0049,258.8515,68.5998,207.2634,56.3577,43.5346,1
28.0,48.0,10.0,100.0,0.0,16.9155,65.4931,334.6099,63.5474,218.7734,55.6809,44.8883,1
28.0,48.0,10.0,1000.0,0.0,16.9253,65.4756,334.6874,63.5474,218.7792,55.6756,44.8988,1
